n whisker_min box_min median box_high whisker_high
1 0 1 1 1 3 
2 1 1 1 1 1 
3 0 1 1 1 1 
4 0 1 1 1 1 
5 1 1 1 1 1 
6 0 1 1 1 1 
7 1 1 1 1 2 
8 0 1 1 1 1 
9 1 1 1 1 2 
10 1 1 1 1 1 
11 1 1 1 2 2 
12 1 1 1 1 2 
13 1 1 2 2 3 
14 2 2 2 2 3 
15 2 2 2 3 4 
16 1 1 2 2 3 
17 2 2 2 3 4 
18 2 2 2 3 5 
19 2 2 3 4 5 
20 2 2 2 3 4 
21 2 3 3 4 5 
22 2 3 3 4 6 
23 3 3 3 5 7 
24 2 2 2 2 4 
25 2 2 3 4 6 
26 3 3 3 5 5 
27 4 4 4 6 6 
28 3 3 3 5 5 
29 3 4 4 6 6 
30 4 4 4 6 6 
31 5 5 5 7 7 
32 4 4 4 7 7 
33 5 5 5 8 8 
34 5 5 5 8 8 
35 6 6 9 10 18 
36 3 3 4 5 6 
37 5 5 5 9 9 
38 6 6 6 9 18 
39 7 7 7 11 13 
40 6 6 6 9 9 
41 7 7 8 11 12 
42 7 7 8 12 17 
43 8 9 9 13 19 
44 8 8 8 12 18 
45 9 9 9 14 22 
46 9 10 10 16 22 
47 11 11 13 18 18 
48 7 7 7 10 10 
49 9 9 9 15 15 
50 10 10 10 16 23 
51 11 12 12 19 27 
52 10 10 10 16 16 
53 12 12 12 19 20 
54 12 12 12 20 20 
55 14 15 15 24 24 
56 13 13 13 20 21 
57 15 15 15 24 24 
58 15 15 15 24 25 
59 17 17 17 28 29 
60 11 11 11 16 18 
61 14 15 15 25 25 
62 16 16 16 26 26 
63 18 18 18 29 29 
64 16 17 17 26 29 
65 19 19 19 30 31 
66 19 19 19 31 31 
67 22 22 22 36 54 
68 20 20 20 32 48 
69 23 23 23 38 38 
70 23 24 24 39 58 
71 27 27 27 44 65 
72 17 17 17 28 29 
73 23 23 23 38 165 
74 24 24 24 40 40 
75 27 27 27 44 44 
76 25 25 25 40 52 
77 28 28 28 46 47 
78 28 29 29 47 47 
79 32 33 35 53 53 
80 29 30 30 48 48 
81 33 33 34 55 82 
82 34 34 34 55 55 
83 38 38 38 63 63 
84 25 27 41 56 61 
85 34 34 56 56 79 
86 35 35 36 58 58 
87 39 39 39 63 64 
88 35 35 36 58 58 
89 39 40 41 65 66 
90 40 40 41 66 66 
91 45 46 46 75 75 
92 41 42 61 68 69 
93 48 48 79 79 107 
94 48 48 78 107 118 
95 53 53 54 87 88 
96 36 36 39 59 59 
97 47 47 47 77 78 
98 49 49 49 81 121 
99 52 53 53 87 89 
100 49 51 76 81 81 
101 55 55 59 91 92 
102 56 56 56 92 92 
103 62 62 62 102 103 
104 57 57 57 94 94 
105 64 64 64 105 106 
106 65 65 65 107 110 
107 71 71 98 117 117 
108 50 50 50 82 117 
109 64 64 68 105 107 
110 66 70 110 111 154 
111 71 71 72 118 168 
112 66 66 83 108 163 
113 74 74 74 121 122 
114 74 75 75 123 123 
115 82 82 82 135 136 
116 76 76 79 125 126 
117 85 85 85 139 140 
118 87 87 87 142 143 
119 95 95 95 155 155 
120 67 69 110 113 158 
121 84 85 85 139 198 
122 86 86 87 142 197 
123 93 93 97 153 154 
124 87 87 143 144 194 
125 95 96 96 159 159 
126 97 97 97 160 160 
127 107 121 177 205 240 
128 102 102 102 168 169 
129 109 109 112 180 181 
130 110 110 119 182 182 
131 121 122 123 199 199 
132 87 87 143 143 217 
133 109 110 181 181 285 
134 111 111 111 184 184 
135 119 119 120 196 196 
136 111 111 112 182 184 
137 122 123 126 202 213 
138 123 124 124 203 204 
139 135 135 135 222 408 
140 126 126 126 208 208 
141 139 139 143 228 229 
142 139 139 231 234 314 
143 152 153 156 251 261 
144 111 111 113 183 183 
145 137 142 146 228 258 
146 139 140 141 231 231 
147 150 154 154 250 402 
148 140 141 231 259 330 
149 155 156 156 257 462 
150 157 157 157 259 259 
151 169 170 175 279 374 
152 159 161 167 262 263 
153 171 172 172 283 334 
154 172 173 174 285 292 
155 187 191 202 332 334 
156 139 139 140 229 230 
157 171 172 175 283 283 
158 174 174 177 286 288 
159 184 216 305 307 436 
160 175 207 289 411 413 
161 189 189 190 312 313 
162 190 191 223 314 314 
163 205 206 206 340 347 
164 194 194 320 322 433 
165 213 213 223 349 350 
166 213 224 225 351 412 
167 231 234 248 378 380 
168 172 172 186 284 285 
169 209 209 221 345 345 
170 212 214 215 349 352 
171 229 234 377 378 512 
172 215 215 218 395 700 
173 232 233 234 385 385 
174 235 235 246 387 505 
175 250 251 351 413 418 
176 235 240 338 390 394 
177 256 257 260 422 423 
178 258 260 321 423 423 
179 278 281 281 461 463 
180 210 210 210 345 356 
181 253 253 281 419 707 
182 257 258 258 422 422 
183 273 276 448 452 509 
184 258 258 258 425 426 
185 279 279 286 459 460 
186 281 282 472 589 634 
187 300 306 507 579 972 
188 285 285 289 470 756 
189 309 312 327 512 846 
190 309 309 407 509 511 
191 336 340 340 568 569 
192 286 338 398 422 465 
193 305 305 308 501 503 
194 309 329 360 511 519 
195 325 329 369 549 652 
196 309 312 313 506 508 
197 336 337 340 554 561 
198 337 350 432 548 552 
199 361 364 411 588 595 
200 336 336 411 558 596 
201 366 376 387 619 790 
202 365 366 368 602 605 
203 406 406 413 674 750 
204 308 334 438 502 504 
205 362 364 594 598 849 
206 366 370 517 603 612 
207 384 385 388 636 681 
208 363 365 374 598 613 
209 401 406 488 642 653 
210 397 402 450 648 651 
211 419 420 423 690 884 
212 399 401 670 681 889 
213 439 461 574 720 737 
214 438 441 452 715 716 
215 469 482 677 783 784 
216 360 361 363 592 593 
217 422 426 448 694 721 
218 427 431 479 724 741 
219 447 448 460 738 874 
220 434 486 493 755 856 
221 455 456 468 749 756 
222 462 609 663 769 789 
223 490 491 493 806 810 
224 469 473 832 968 1372 
225 513 550 590 828 841 
226 500 501 680 873 987 
227 545 549 560 909 932 
228 440 461 571 698 828 
229 494 500 676 812 1424 
230 499 518 604 819 903 
231 517 524 531 871 1236 
232 494 504 626 813 813 
233 531 533 588 904 972 
234 532 532 534 882 1005 
235 568 568 570 938 1512 
236 541 554 736 936 966 
237 596 596 598 973 1242 
238 602 662 912 969 1137 
239 627 690 952 1137 1396 
240 495 565 643 822 868 
241 578 754 792 948 950 
242 576 576 581 972 987 
243 603 612 853 987 999 
244 572 585 619 947 1368 
245 685 686 928 999 1152 
246 620 665 693 1034 1038 
247 662 670 685 1148 1266 
248 623 638 668 1017 1108 
249 671 672 694 1240 1269 
250 682 732 803 1246 1271 
251 732 738 855 1131 1217 
252 589 621 658 965 1260 
253 662 670 674 1026 1187 
254 668 852 903 1055 1151 
255 700 767 939 1099 1316 
256 752 802 805 1132 1267 
257 699 702 709 1018 1209 
258 702 721 989 1026 1165 
259 740 757 1015 1332 1924 
260 708 792 1032 1194 1321 
261 760 815 905 1088 1560 
262 756 1032 1048 1455 1654 
263 798 816 952 1359 1372 
264 656 680 746 1064 1128 
265 748 838 989 1341 1389 
266 813 865 890 1012 1573 
267 776 782 904 1395 1407 
268 740 752 754 989 1280 
269 796 805 896 1230 1380 
270 790 791 1025 1664 2027 
271 838 850 1151 1295 1389 
272 790 872 1108 1377 1975 
273 866 1024 1075 1081 1625 
274 848 850 856 1055 1400 
275 904 906 917 1099 1809 
276 735 773 930 978 1288 
277 840 848 860 1365 1412 
278 841 842 848 1134 1578 
279 875 875 1194 1624 1777 
280 840 842 997 1117 1508 
281 893 1033 1073 1195 1941 
282 899 1098 1118 1141 1675 
283 938 950 1063 1509 1584 
284 932 933 937 1044 1592 
285 993 1086 1296 1315 1602 
286 959 972 1147 1157 1631 
287 1161 1224 1233 1265 1735 
288 832 925 941 974 1628 
289 1044 1122 1160 1187 1616 
290 953 955 1046 1172 1663 
291 986 990 1038 1382 1701 
292 955 1125 1148 1176 1588 
293 1015 1067 1210 1423 1671 
294 1016 1045 1104 1690 1719 
295 1072 1075 1124 1359 1964 
296 1046 1065 1091 1107 1803 
297 1079 1085 1442 1513 1996 
298 1087 1093 1129 1285 1955 
299 1153 1165 1178 1209 2134 
300 969 1068 1073 1104 1727 
