n whisker_min box_min median box_high whisker_high
1 37 50 69 70 107 
2 37 45 47 63 70 
3 43 53 57 62 72 
4 56 67 70 120 144 
5 90 97 107 133 169 
6 102 103 110 135 144 
7 121 130 131 151 3480 
8 126 132 151 184 292 
9 139 151 152 193 273 
10 173 197 216 223 276 
11 185 187 190 252 275 
12 207 211 270 322 333 
13 213 224 226 380 461 
14 236 243 330 364 392 
15 266 269 275 356 436 
16 265 269 384 445 476 
17 290 303 335 379 525 
18 318 319 324 398 535 
19 335 386 465 532 1178 
20 349 366 479 541 547 
21 381 441 512 610 619 
22 395 410 485 536 635 
23 405 421 471 645 683 
24 442 465 569 579 723 
25 443 463 495 582 586 
26 452 467 517 603 608 
27 411 470 582 625 658 
28 484 647 683 733 749 
29 488 509 697 751 756 
30 486 555 598 675 949 
31 535 621 713 861 1060 
32 532 640 721 730 1170 
33 571 746 830 917 1886 
34 557 592 749 909 3476 
35 597 636 751 786 1210 
36 623 778 784 895 1853 
37 625 669 734 887 2800 
38 627 723 739 1022 1068 
39 685 686 756 889 914 
40 739 751 909 912 987 
41 726 816 836 1048 1439 
42 738 766 925 1116 1240 
43 746 773 1037 1079 1277 
44 774 809 988 1040 1321 
45 720 771 810 1096 1289 
46 802 817 1127 1200 1247 
47 832 839 852 1177 1571 
48 880 892 992 1273 2024 
49 837 880 938 1103 1466 
50 910 937 942 1211 1420 
51 923 999 1088 1199 1669 
52 912 986 1199 1264 1568 
53 1006 1105 1241 1250 2371 
54 919 954 1091 1281 1362 
55 868 989 1276 1283 1396 
56 1035 1071 1364 1390 1884 
57 919 920 1332 1500 1562 
58 1089 1281 1353 1404 1471 
59 985 1041 1054 1328 1430 
60 1023 1030 1112 1480 1886 
61 999 1049 1151 1290 1788 
62 1169 1186 1267 1563 1716 
63 1085 1086 1198 1513 2309 
64 1083 1179 1360 1475 1563 
65 1124 1200 1271 1491 1604 
66 1161 1164 1336 1550 2367 
67 1213 1518 1703 2021 2529 
68 1326 1385 1438 1741 1797 
69 1274 1553 1725 1939 2735 
70 1293 1526 1780 2148 2917 
71 1328 1338 1559 1876 1927 
72 1222 1299 1403 1788 1988 
73 1650 1760 1808 1847 5757 
74 1247 1665 1702 1955 2123 
75 1404 1413 1537 1882 5036 
76 1389 1398 1767 1840 2497 
77 1378 1412 1580 2000 2049 
78 1336 1482 1659 1988 2048 
79 1468 1635 2083 2731 3325 
80 1399 1561 1779 2517 5181 
81 1543 1677 1920 2083 2130 
